XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
07/11/2025 08:00,3341.53,3349.45,3331.8,3347.98,645,0.19,
07/11/2025 04:00,3333.61,3343.8,3329.73,3341.9,829,0.25,
07/11/2025 00:00,3323.61,3336.1,3323.49,3333.58,997,0.30,
07/10/2025 20:00,3324.87,3326.49,3321.92,3323.71,-116,-0.03,
07/10/2025 16:00,3319.59,3326.02,3312.23,3325.04,545,0.16,
07/10/2025 12:00,3319.66,3328.49,3310.42,3319.59,-7,0.00,
07/10/2025 08:00,3320.27,3330.02,3318.25,3320.38,11,0.00,
07/10/2025 04:00,3315.67,3329.33,3314.82,3320.75,508,0.15,
07/10/2025 00:00,3317.58,3326.22,3315.38,3315.69,-189,-0.06,
07/09/2025 20:00,3315.39,3320.76,3310.7,3317.47,208,0.06,
07/09/2025 16:00,3309.56,3316.88,3307.91,3315.59,603,0.18,
07/09/2025 12:00,3284.91,3312.89,3284.91,3309.53,2462,0.74,
07/09/2025 08:00,3291.77,3296.05,3282.4,3284.97,-680,-0.21,
07/09/2025 04:00,3293.61,3297.87,3285.58,3291.92,-169,-0.05,
07/09/2025 00:00,3302.44,3307.82,3284.6,3293.47,-897,-0.27,
07/08/2025 20:00,3303.03,3304.1,3297.11,3302.33,-70,-0.02,
07/08/2025 16:00,3298.27,3310.07,3296.45,3302.58,431,0.13,
07/08/2025 12:00,3324.89,3329.9,3286.79,3298.12,-2677,-0.81,
07/08/2025 08:00,3333.92,3333.92,3319.85,3324.97,-895,-0.27,
07/08/2025 04:00,3331.36,3339.45,3327.47,3334.01,265,0.08,
07/08/2025 00:00,3334.68,3337.99,3329.59,3331.43,-325,-0.10,
07/07/2025 20:00,3337.22,3345.83,3333.8,3334.63,-259,-0.08,
07/07/2025 16:00,3320.18,3339.99,3320.1,3336.53,1635,0.49,
07/07/2025 12:00,3301.98,3321.92,3300.49,3320.86,1888,0.57,
07/07/2025 08:00,3308.33,3312.43,3296.6,3300.71,-762,-0.23,
07/07/2025 04:00,3310.94,3315.27,3300.73,3302.19,-875,-0.26,
07/07/2025 00:00,3328.88,3329.54,3305.85,3310.92,-1796,-0.54,
07/06/2025 20:00,3337.33,3342.65,3326.3,3328.96,-837,-0.25,
07/04/2025 16:00,3332.49,3337.41,3332.23,3336.63,414,0.12,
07/04/2025 12:00,3334.64,3338.0,3330.86,3332.51,-213,-0.06,
07/04/2025 08:00,3342.84,3344.16,3331.52,3334.63,-821,-0.25,
07/04/2025 04:00,3338.36,3345.13,3336.55,3342.85,449,0.13,
07/04/2025 00:00,3330.72,3338.85,3325.79,3338.4,768,0.23,
07/03/2025 20:00,3328.8,3332.02,3323.61,3330.96,216,0.06,
